commercial_area_code,business_type,time_band,demand_level
3001495,JAPANESE_FOOD,TIME_11_14,VERY_HIGH
3001495,JAPANESE_FOOD,TIME_14_17,HIGH
3001495,JAPANESE_FOOD,TIME_17_21,VERY_HIGH
3001495,JAPANESE_FOOD,TIME_21_24,MEDIUM
3001495,WESTERN_FOOD,TIME_00_06,LOW
3001495,WESTERN_FOOD,TIME_06_11,CLOSED
3001495,WESTERN_FOOD,TIME_11_14,VERY_HIGH
3001495,WESTERN_FOOD,TIME_14_17,HIGH
3001495,WESTERN_FOOD,TIME_17_21,HIGH
3001495,WESTERN_FOOD,TIME_21_24,MEDIUM
3001495,CHICKEN,TIME_00_06,MEDIUM
3001495,CHICKEN,TIME_06_11,CLOSED
3001495,CHICKEN,TIME_11_14,CLOSED
3001495,CHICKEN,TIME_14_17,LOW
3001495,CHICKEN,TIME_17_21,HIGH
3001495,CHICKEN,TIME_21_24,VERY_HIGH
3001495,FAST_FOOD,TIME_00_06,CLOSED
3001495,FAST_FOOD,TIME_06_11,LOW
3001495,FAST_FOOD,TIME_11_14,HIGH
3001495,FAST_FOOD,TIME_14_17,HIGH
3001495,FAST_FOOD,TIME_17_21,HIGH
3001495,FAST_FOOD,TIME_21_24,LOW
3001495,BUNSIK,TIME_00_06,CLOSED
3001495,BUNSIK,TIME_06_11,LOW
3001495,BUNSIK,TIME_11_14,VERY_HIGH
3001495,BUNSIK,TIME_14_17,HIGH
3001495,BUNSIK,TIME_17_21,HIGH
3001495,BUNSIK,TIME_21_24,LOW
3001495,CAFE_BEVERAGE,TIME_00_06,CLOSED
3001495,CAFE_BEVERAGE,TIME_06_11,LOW
3001495,CAFE_BEVERAGE,TIME_11_14,VERY_HIGH
3001495,CAFE_BEVERAGE,TIME_14_17,HIGH
3001495,CAFE_BEVERAGE,TIME_17_21,HIGH
3001495,CAFE_BEVERAGE,TIME_21_24,LOW
3001495,BAKERY,TIME_00_06,CLOSED
3001495,BAKERY,TIME_06_11,LOW
3001495,BAKERY,TIME_11_14,HIGH
3001495,BAKERY,TIME_14_17,VERY_HIGH
3001495,BAKERY,TIME_17_21,HIGH
3001495,BAKERY,TIME_21_24,LOW
3001496,KOREAN_FOOD,TIME_00_06,CLOSED
3001496,KOREAN_FOOD,TIME_06_11,MEDIUM
3001496,KOREAN_FOOD,TIME_11_14,VERY_HIGH
3001496,KOREAN_FOOD,TIME_14_17,MEDIUM
3001496,KOREAN_FOOD,TIME_17_21,MEDIUM
3001496,KOREAN_FOOD,TIME_21_24,CLOSED
3001496,CHINESE_FOOD,TIME_00_06,CLOSED
3001496,CHINESE_FOOD,TIME_06_11,CLOSED
3001496,CHINESE_FOOD,TIME_11_14,VERY_HIGH
3001496,CHINESE_FOOD,TIME_14_17,HIGH
3001496,CHINESE_FOOD,TIME_17_21,VERY_HIGH
3001496,CHINESE_FOOD,TIME_21_24,LOW
3001496,JAPANESE_FOOD,TIME_00_06,CLOSED
3001496,JAPANESE_FOOD,TIME_06_11,CLOSED
3001496,JAPANESE_FOOD,TIME_11_14,VERY_HIGH
3001496,JAPANESE_FOOD,TIME_14_17,MEDIUM
3001496,JAPANESE_FOOD,TIME_17_21,HIGH
3001496,JAPANESE_FOOD,TIME_21_24,CLOSED
3001496,WESTERN_FOOD,TIME_00_06,CLOSED
3001496,WESTERN_FOOD,TIME_06_11,LOW
3001496,WESTERN_FOOD,TIME_11_14,VERY_HIGH
3001496,WESTERN_FOOD,TIME_14_17,HIGH
3001496,WESTERN_FOOD,TIME_17_21,HIGH
3001496,WESTERN_FOOD,TIME_21_24,LOW
3001496,FAST_FOOD,TIME_00_06,CLOSED
3001496,FAST_FOOD,TIME_06_11,LOW
3001496,FAST_FOOD,TIME_11_14,VERY_HIGH
3001496,FAST_FOOD,TIME_14_17,HIGH
3001496,FAST_FOOD,TIME_17_21,HIGH
3001496,FAST_FOOD,TIME_21_24,LOW
3001496,BUNSIK,TIME_00_06,CLOSED
3001496,BUNSIK,TIME_06_11,LOW
3001496,BUNSIK,TIME_11_14,VERY_HIGH
3001496,BUNSIK,TIME_14_17,HIGH
3001496,BUNSIK,TIME_17_21,HIGH
3001496,BUNSIK,TIME_21_24,LOW
3001496,CAFE_BEVERAGE,TIME_00_06,CLOSED
3001496,CAFE_BEVERAGE,TIME_06_11,MEDIUM
3001496,CAFE_BEVERAGE,TIME_11_14,VERY_HIGH
3001496,CAFE_BEVERAGE,TIME_14_17,HIGH
3001496,CAFE_BEVERAGE,TIME_17_21,MEDIUM
3001496,CAFE_BEVERAGE,TIME_21_24,CLOSED
3001496,BAKERY,TIME_00_06,CLOSED
3001496,BAKERY,TIME_06_11,LOW
3001496,BAKERY,TIME_11_14,VERY_HIGH
3001496,BAKERY,TIME_14_17,HIGH
3001496,BAKERY,TIME_17_21,HIGH
3001496,BAKERY,TIME_21_24,LOW
3110001,KOREAN_FOOD,TIME_00_06,CLOSED
3110001,KOREAN_FOOD,TIME_06_11,CLOSED
3110001,KOREAN_FOOD,TIME_11_14,VERY_HIGH
3110001,KOREAN_FOOD,TIME_14_17,HIGH
3110001,KOREAN_FOOD,TIME_17_21,HIGH
3110001,KOREAN_FOOD,TIME_21_24,LOW
3110002,KOREAN_FOOD,TIME_00_06,CLOSED
3110002,KOREAN_FOOD,TIME_06_11,LOW
3110002,KOREAN_FOOD,TIME_11_14,VERY_HIGH
3110002,KOREAN_FOOD,TIME_14_17,MEDIUM
3110002,KOREAN_FOOD,TIME_17_21,HIGH
3110002,KOREAN_FOOD,TIME_21_24,LOW
3110002,CAFE_BEVERAGE,TIME_00_06,CLOSED
3110002,CAFE_BEVERAGE,TIME_06_11,LOW
3110002,CAFE_BEVERAGE,TIME_11_14,VERY_HIGH
3110002,CAFE_BEVERAGE,TIME_14_17,VERY_HIGH
3110002,CAFE_BEVERAGE,TIME_17_21,MEDIUM
3110002,CAFE_BEVERAGE,TIME_21_24,CLOSED
3110002,BAKERY,TIME_00_06,CLOSED
3110002,BAKERY,TIME_06_11,MEDIUM
3110002,BAKERY,TIME_11_14,HIGH
3110002,BAKERY,TIME_14_17,HIGH
3110002,BAKERY,TIME_17_21,HIGH
3110002,BAKERY,TIME_21_24,LOW
3110003,KOREAN_FOOD,TIME_00_06,CLOSED
3110003,KOREAN_FOOD,TIME_06_11,CLOSED
3110003,KOREAN_FOOD,TIME_11_14,VERY_HIGH
3110003,KOREAN_FOOD,TIME_14_17,MEDIUM
3110003,KOREAN_FOOD,TIME_17_21,HIGH
3110003,KOREAN_FOOD,TIME_21_24,LOW
3110003,BUNSIK,TIME_00_06,CLOSED
3110003,BUNSIK,TIME_06_11,CLOSED
3110003,BUNSIK,TIME_11_14,VERY_HIGH
3110003,BUNSIK,TIME_14_17,HIGH
3110003,BUNSIK,TIME_17_21,HIGH
3110003,BUNSIK,TIME_21_24,CLOSED
3110003,CAFE_BEVERAGE,TIME_00_06,CLOSED
3110003,CAFE_BEVERAGE,TIME_06_11,LOW
3110003,CAFE_BEVERAGE,TIME_11_14,VERY_HIGH
3110003,CAFE_BEVERAGE,TIME_14_17,VERY_HIGH
3110003,CAFE_BEVERAGE,TIME_17_21,MEDIUM
3110003,CAFE_BEVERAGE,TIME_21_24,CLOSED
3110003,BAKERY,TIME_00_06,CLOSED
3110003,BAKERY,TIME_06_11,MEDIUM
3110003,BAKERY,TIME_11_14,HIGH
3110003,BAKERY,TIME_14_17,HIGH
3110003,BAKERY,TIME_17_21,HIGH
3110003,BAKERY,TIME_21_24,LOW
3110004,KOREAN_FOOD,TIME_00_06,CLOSED
3110004,KOREAN_FOOD,TIME_06_11,LOW
3110004,KOREAN_FOOD,TIME_11_14,VERY_HIGH
3110004,KOREAN_FOOD,TIME_14_17,MEDIUM
3110004,KOREAN_FOOD,TIME_17_21,VERY_HIGH
3110004,KOREAN_FOOD,TIME_21_24,LOW
3110005,KOREAN_FOOD,TIME_00_06,CLOSED
3110005,KOREAN_FOOD,TIME_06_11,CLOSED
3110005,KOREAN_FOOD,TIME_11_14,VERY_HIGH
3110005,KOREAN_FOOD,TIME_14_17,MEDIUM
3110005,KOREAN_FOOD,TIME_17_21,HIGH
3110005,KOREAN_FOOD,TIME_21_24,LOW
3110006,CAFE_BEVERAGE,TIME_00_06,CLOSED
3110006,CAFE_BEVERAGE,TIME_06_11,CLOSED
3110006,CAFE_BEVERAGE,TIME_11_14,HIGH
3110006,CAFE_BEVERAGE,TIME_14_17,VERY_HIGH
3110006,CAFE_BEVERAGE,TIME_17_21,HIGH
3110006,CAFE_BEVERAGE,TIME_21_24,MEDIUM
3110008,KOREAN_FOOD,TIME_00_06,CLOSED
3110008,KOREAN_FOOD,TIME_06_11,CLOSED
3110008,KOREAN_FOOD,TIME_11_14,VERY_HIGH
3110008,KOREAN_FOOD,TIME_14_17,MEDIUM
3110008,KOREAN_FOOD,TIME_17_21,HIGH
3110008,KOREAN_FOOD,TIME_21_24,LOW
3110008,JAPANESE_FOOD,TIME_00_06,CLOSED
3110008,JAPANESE_FOOD,TIME_06_11,CLOSED
3110008,JAPANESE_FOOD,TIME_11_14,VERY_HIGH
3110008,JAPANESE_FOOD,TIME_14_17,HIGH
3110008,JAPANESE_FOOD,TIME_17_21,MEDIUM
3110008,JAPANESE_FOOD,TIME_21_24,CLOSED
3110008,WESTERN_FOOD,TIME_00_06,CLOSED
3110008,WESTERN_FOOD,TIME_06_11,LOW
3110008,WESTERN_FOOD,TIME_11_14,VERY_HIGH
3110008,WESTERN_FOOD,TIME_14_17,HIGH
3110008,WESTERN_FOOD,TIME_17_21,HIGH
3110008,WESTERN_FOOD,TIME_21_24,LOW
3110008,BUNSIK,TIME_00_06,CLOSED
3110008,BUNSIK,TIME_06_11,LOW
3110008,BUNSIK,TIME_11_14,VERY_HIGH
3110008,BUNSIK,TIME_14_17,VERY_HIGH
3110008,BUNSIK,TIME_17_21,MEDIUM
3110008,BUNSIK,TIME_21_24,CLOSED
3110008,CAFE_BEVERAGE,TIME_00_06,CLOSED
3110008,CAFE_BEVERAGE,TIME_06_11,LOW
3110008,CAFE_BEVERAGE,TIME_11_14,VERY_HIGH
3110008,CAFE_BEVERAGE,TIME_14_17,VERY_HIGH
3110008,CAFE_BEVERAGE,TIME_17_21,MEDIUM
3110008,CAFE_BEVERAGE,TIME_21_24,CLOSED
3110008,BAKERY,TIME_00_06,CLOSED
3110008,BAKERY,TIME_06_11,LOW
3110008,BAKERY,TIME_11_14,VERY_HIGH
3110008,BAKERY,TIME_14_17,VERY_HIGH
3110008,BAKERY,TIME_17_21,HIGH
3110008,BAKERY,TIME_21_24,CLOSED
3110009,KOREAN_FOOD,TIME_00_06,CLOSED
3110009,KOREAN_FOOD,TIME_06_11,CLOSED
3110009,KOREAN_FOOD,TIME_11_14,VERY_HIGH
3110009,KOREAN_FOOD,TIME_14_17,HIGH
3110009,KOREAN_FOOD,TIME_17_21,HIGH
3110009,KOREAN_FOOD,TIME_21_24,CLOSED
3110009,WESTERN_FOOD,TIME_00_06,CLOSED
3110009,WESTERN_FOOD,TIME_06_11,CLOSED
3110009,WESTERN_FOOD,TIME_11_14,VERY_HIGH
3110009,WESTERN_FOOD,TIME_14_17,VERY_HIGH
3110009,WESTERN_FOOD,TIME_17_21,HIGH
3110009,WESTERN_FOOD,TIME_21_24,LOW
3110009,CAFE_BEVERAGE,TIME_00_06,CLOSED
3110009,CAFE_BEVERAGE,TIME_06_11,CLOSED
3110009,CAFE_BEVERAGE,TIME_11_14,HIGH
3110009,CAFE_BEVERAGE,TIME_14_17,VERY_HIGH
3110009,CAFE_BEVERAGE,TIME_17_21,HIGH
3110009,CAFE_BEVERAGE,TIME_21_24,LOW
3110010,BUNSIK,TIME_00_06,CLOSED
3110010,BUNSIK,TIME_06_11,LOW
3110010,BUNSIK,TIME_11_14,VERY_HIGH
3110010,BUNSIK,TIME_14_17,HIGH
3110010,BUNSIK,TIME_17_21,HIGH
3110010,BUNSIK,TIME_21_24,LOW
3110010,BAKERY,TIME_00_06,CLOSED
3110010,BAKERY,TIME_06_11,MEDIUM
3110010,BAKERY,TIME_11_14,HIGH
3110010,BAKERY,TIME_14_17,HIGH
3110010,BAKERY,TIME_17_21,HIGH
3110010,BAKERY,TIME_21_24,LOW
3110012,KOREAN_FOOD,TIME_00_06,CLOSED
3110012,KOREAN_FOOD,TIME_06_11,LOW
3110012,KOREAN_FOOD,TIME_11_14,VERY_HIGH
3110012,KOREAN_FOOD,TIME_14_17,MEDIUM
3110012,KOREAN_FOOD,TIME_17_21,HIGH
3110012,KOREAN_FOOD,TIME_21_24,LOW
3110012,JAPANESE_FOOD,TIME_00_06,CLOSED
3110012,JAPANESE_FOOD,TIME_06_11,CLOSED
3110012,JAPANESE_FOOD,TIME_11_14,VERY_HIGH
3110012,JAPANESE_FOOD,TIME_14_17,MEDIUM
3110012,JAPANESE_FOOD,TIME_17_21,HIGH
3110012,JAPANESE_FOOD,TIME_21_24,CLOSED
3110012,WESTERN_FOOD,TIME_00_06,CLOSED
3110012,WESTERN_FOOD,TIME_06_11,CLOSED
3110012,WESTERN_FOOD,TIME_11_14,VERY_HIGH
3110012,WESTERN_FOOD,TIME_14_17,MEDIUM
3110012,WESTERN_FOOD,TIME_17_21,HIGH
3110012,WESTERN_FOOD,TIME_21_24,LOW
3110012,CAFE_BEVERAGE,TIME_00_06,CLOSED
3110012,CAFE_BEVERAGE,TIME_06_11,LOW
3110012,CAFE_BEVERAGE,TIME_11_14,VERY_HIGH
3110012,CAFE_BEVERAGE,TIME_14_17,HIGH
3110012,CAFE_BEVERAGE,TIME_17_21,MEDIUM
3110012,CAFE_BEVERAGE,TIME_21_24,CLOSED
3110013,CAFE_BEVERAGE,TIME_00_06,CLOSED
3110013,CAFE_BEVERAGE,TIME_06_11,CLOSED
3110013,CAFE_BEVERAGE,TIME_11_14,VERY_HIGH
3110013,CAFE_BEVERAGE,TIME_14_17,VERY_HIGH
3110013,CAFE_BEVERAGE,TIME_17_21,HIGH
3110013,CAFE_BEVERAGE,TIME_21_24,LOW
3110014,KOREAN_FOOD,TIME_00_06,CLOSED
3110014,KOREAN_FOOD,TIME_06_11,LOW
3110014,KOREAN_FOOD,TIME_11_14,VERY_HIGH
3110014,KOREAN_FOOD,TIME_14_17,MEDIUM
3110014,KOREAN_FOOD,TIME_17_21,HIGH
3110014,KOREAN_FOOD,TIME_21_24,CLOSED
3110015,WESTERN_FOOD,TIME_00_06,CLOSED
3110015,WESTERN_FOOD,TIME_06_11,CLOSED
3110015,WESTERN_FOOD,TIME_11_14,VERY_HIGH
3110015,WESTERN_FOOD,TIME_14_17,HIGH
3110015,WESTERN_FOOD,TIME_17_21,HIGH
3110015,WESTERN_FOOD,TIME_21_24,LOW
3110015,CAFE_BEVERAGE,TIME_00_06,CLOSED
3110015,CAFE_BEVERAGE,TIME_06_11,LOW
3110015,CAFE_BEVERAGE,TIME_11_14,VERY_HIGH
3110015,CAFE_BEVERAGE,TIME_14_17,VERY_HIGH
3110015,CAFE_BEVERAGE,TIME_17_21,MEDIUM
3110015,CAFE_BEVERAGE,TIME_21_24,CLOSED
3110016,KOREAN_FOOD,TIME_00_06,CLOSED
3110016,KOREAN_FOOD,TIME_06_11,CLOSED
3110016,KOREAN_FOOD,TIME_11_14,VERY_HIGH
3110016,KOREAN_FOOD,TIME_14_17,HIGH
